Arbol,Altura,DAP,Latitud NG,Latitud NM,Latitud NS,Longitud OG,Longitud OM,Longitud OS,Especie,Acro,Crecimiento,Rep,Tip Rep,Orientacion,Cobertura,
22,2.5,3,19,29,14.8,97,2,22.4,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,NaN,NaN,
23,15,6,19,29,14.8,97,2,22.4,Herpothallon philippinum,HePhi,Cos,Asex,Isid,NaN,NaN,
23,15,6,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,NaN,NaN,
23,15,6,19,29,14.8,97,2,22.4,Hypotrachyna sp. isidiada,HySpI,Fol,Asex,Isid,Noroeste,28,
23,15,6,19,29,14.8,97,2,22.4,Hypotrachyna vexans,HyVex,Fol,Asex,Isid,NaN,NaN,
23,15,6,19,29,14.8,97,2,22.4,Lopezaria versicolor,LoVer,Cos,Sex,Apot,Noroeste,44,
23,15,6,19,29,14.8,97,2,22.4,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Noroeste,8,
23,15,6,19,29,14.8,97,2,22.4,Punctelia hypoleucites,PuHyp,Fol,Sex,Apot,Noroeste,60,
23,15,6,19,29,14.8,97,2,22.4,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Noroeste,68,
24,6,10,19,29,14.8,97,2,22.4,Hypotrachyna sp. isidiada,HyIsi,Fol,Asex,Isid,NaN,NaN,
24,6,10,19,29,14.8,97,2,22.4,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,NaN,NaN,
24,6,10,19,29,14.8,97,2,22.4,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,NaN,NaN,
24,6,10,19,29,14.8,97,2,22.4,Parmotrema sp. ,PaSp,Fol,NaN,NaN,NaN,NaN,
24,6,10,19,29,14.8,97,2,22.4,Punctelia hypoleucites,PuHyp,Fol,Sex,Apot,NaN,NaN,
25,2.5,4,19,29,14.8,97,2,22.4,Parmotrema flavescens,PaFla,Fol,Asex,Isid,NaN,NaN,
25,2.5,4,19,29,14.8,97,2,22.4,Parmotrema peralbidum,PaPer,Fol,Sex,Apot,NaN,NaN,
25,2.5,4,19,29,14.8,97,2,22.4,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,NaN,NaN,
25,2.5,4,19,29,14.8,97,2,22.4,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,NaN,NaN,
25,2.5,4,19,29,14.8,97,2,22.4,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,NaN,NaN,
25,2.5,4,19,29,14.8,97,2,22.4,Usnea cf. brasiliensis,UsBra,Frut,Asex,Sor,NaN,NaN,
26,10,18,19,29,14.8,97,2,22.4,Hypotrachyna cf. pulvinata,HyPul,Fol,Sex,Apot,Noreste,22,
26,10,18,19,29,14.8,97,2,22.4,Sticta beauvoisii,StBea,Fol,Asex,Isid,NaN,NaN,
27,15,18,19,29,14.8,97,2,22.4,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Sur,2.8,
27,15,18,19,29,14.8,97,2,22.4,Hypotrachyna cf. pulvinata,HyPul,Fol,Sex,Apot,Norte,4,
27,15,18,19,29,14.8,97,2,22.4,Lopezaria versicolor,LoVer,Cos,Sex,Apot,Norte,12,
27,15,18,19,29,14.8,97,2,22.4,Megalospora sulphurata,MeSul,Cos,Sex,Apot,Sur,24,
27,15,18,19,29,14.8,97,2,22.4,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Norte,44,
27,15,18,19,29,14.8,97,2,22.4,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,NaN,NaN,
27,15,18,19,29,14.8,97,2,22.4,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,Norte,4,
27,15,18,19,29,14.8,97,2,22.4,Remototrachyna aff. costaricensis,ReCst,Fol,Asex,Isid,Norte,54,
28,15,17,19,29,14.8,97,2,22.4,Brigantiaea leucoxantha,BrLeu,Cos,Sex,apot,Norte,20,
28,15,17,19,29,14.8,97,2,22.4,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,sur,10,
28,15,17,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,sur,8,
28,15,17,19,29,14.8,97,2,22.4,Leptogium milligranum,LeMil,Fol,Asex,Isid,Norte,12,
28,15,17,19,29,14.8,97,2,22.4,Leucodermia cf. appalachensis,LeApp,Fol,Asex,Sor,Norte,5.2,
28,15,17,19,29,14.8,97,2,22.4,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,sur,52,
28,15,17,19,29,14.8,97,2,22.4,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,sur,14,
28,15,17,19,29,14.8,97,2,22.4,Usnea cf. brasiliensis,UsBra,Frut,Asex,Sor,sur,20,
29,8,11,19,29,14.8,97,2,22.4,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,NaN,NaN,
29,8,11,19,29,14.8,97,2,22.4,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,NaN,NaN,
29,8,11,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,NaN,NaN,
29,8,11,19,29,14.8,97,2,22.4,Parmotrema sp. ,PaSp,Fol,NaN,NaN,NaN,NaN,
29,8,11,19,29,14.8,97,2,22.4,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,NaN,NaN,
30,6,9,19,29,14.8,97,2,22.4,Graphis aff. dupaxana,GrDup,Cos,Sex,Lirel,NaN,NaN,
30,6,9,19,29,14.8,97,2,22.4,Graphis rimulosa,GrRim,Cos,Sex,Lirel,NaN,NaN,
30,6,9,19,29,14.8,97,2,22.4,Leucodermia cf. appalachensis,LeApp,Fol,Asex,Sor,NaN,NaN,
30,6,9,19,29,14.8,97,2,22.4,Lopezaria versicolor,LoVer,Cos,Sex,Apot,NaN,NaN,
30,6,9,19,29,14.8,97,2,22.4,Malmidea vinosa,MaVin,Cos,Sex,Apot,NaN,NaN,
30,6,9,19,29,14.8,97,2,22.4,Phaeographis aff. dendritica,PhDen,Cos,Sex,Lirel,NaN,NaN,
30,6,9,19,29,14.8,97,2,22.4,Thalloloma sp.,ThSp,Cos,NaN,NaN,NaN,NaN,
